State,City,Street,Zipcode,Bedroom,Bathroom,Area,PPSq,LotArea,MarketEstimate,RentEstimate,Latitude,Longitude,ListedPrice
AL,Saraland,Scott Dr,36571.0,4.0,2.0,1614.0,148.636926889715,0.3805,240600.0,1599.0,30.819534,-88.09596,239900.0
AL,Chelsea,Mallet Way,35043.0,3.0,3.0,2224.0,150.6294964028777,0.26,336200.0,1932.0,33.357986,-86.6087,335000.0
AL,Huntsville,Turtlebrook Ct,35811.0,3.0,2.0,1225.0,204.08163265306123,,222700.0,1679.0,34.775517,-86.4407,250000.0
AL,Montgomery,Brampton Ln,36117.0,3.0,2.0,1564.0,96.54731457800511,0.2,150500.0,1385.0,32.372746,-86.165115,151000.0
AL,Boaz,Greenwood Ave,35957.0,3.0,2.0,1717.0,139.1962725684333,0.38,238400.0,2125.0,34.210014,-86.13669,239000.0
AL,Albertville,Lexington Ave,35950.0,3.0,2.0,1674.0,149.2831541218638,0.3443526170798898,248000.0,1597.0,34.2754,-86.21792,249900.0
AL,Mobile,Emerald Dr W,36619.0,3.0,3.0,2190.0,134.70319634703196,0.3443,294000.0,1900.0,30.595074,-88.20307,295000.0
AL,Mobile,Stanton Rd,36607.0,3.0,2.0,1194.0,125.6281407035176,0.1971,148300.0,1200.0,30.693125,-88.087814,150000.0
AL,Montgomery,Crestview Ave,36109.0,3.0,2.0,2196.0,76.95810564663023,0.61,124700.0,1250.0,32.39595,-86.269714,169000.0
AL,Semmes,Park Ave,36575.0,3.0,1.0,1100.0,145.45454545454547,1.0,158200.0,1099.0,30.774414,-88.257675,160000.0
AL,Irvington,Moores Ln,36544.0,5.0,3.0,2285.0,61.22538293216631,1.1772,,2100.0,30.455751,-88.242485,139900.0
AL,Mulga,Morningside Dr,35118.0,3.0,2.0,1410.0,56.66666666666666,0.34,78300.0,1369.0,33.524075,-87.00953,79900.0
AL,Grand Bay,Border Dr E,36541.0,3.0,2.0,2252.0,65.71936056838366,0.4501,,1640.0,30.481138,-88.352,148000.0
AL,Mobile,Driver St,36617.0,6.0,4.0,3036.0,54.01844532279315,0.141,154100.0,2500.0,30.702614,-88.08904,164000.0
AL,Henagar,State Highway 75,35978.0,4.0,2.0,1420.0,136.9718309859155,0.8,,917.0,34.649124,-85.71751,194500.0
AL,Birmingham,Avenue I,35218.0,3.0,2.0,1044.0,66.0919540229885,0.18,,986.0,33.506554,-86.89646,69000.0
AL,Montgomery,Narrow Lane Rd,36116.0,3.0,3.0,3693.0,54.15651232060655,6.9,188300.0,1201.0,32.273514,-86.25934,200000.0
AL,Huntsville,Club View Dr NW,35810.0,3.0,2.0,1532.0,142.95039164490862,0.2641873278236915,218300.0,1535.0,34.750492,-86.62149,219000.0
AL,Fairhope,Fairfax Dr,36532.0,4.0,3.0,2410.0,170.04149377593362,0.27,407800.0,2550.0,30.504227,-87.874535,409800.0
AL,Phenix City,13th St,36867.0,3.0,2.0,1188.0,126.26262626262626,0.17,148400.0,1200.0,32.472347,-85.009224,150000.0
AL,Meridianville,Kingsford St,35759.0,3.0,2.0,1679.0,169.74389517569983,0.15,284000.0,1749.0,34.87313,-86.58187,285000.0
AL,Remlap,Cedar Ln,35133.0,2.0,2.0,1600.0,112.5,4.87,178600.0,1495.0,33.78361,-86.630005,180000.0
AL,Mobile,Green Forest Ct,36618.0,3.0,2.0,1296.0,135.03086419753086,0.1016,170100.0,1566.0,30.717815,-88.147285,175000.0
AL,Fort Mitchell,Ottawa Trl,36856.0,5.0,4.0,3051.0,102.2615535889872,0.35,307100.0,2100.0,32.27377,-84.99826,312000.0
AL,Mobile,Montfort Rd S,36608.0,4.0,5.0,1598.0,93.86733416770964,0.426,143300.0,1500.0,30.70528,-88.17934,150000.0
AL,Haleyville,25th St,35565.0,3.0,2.0,1450.0,124.06896551724138,0.3856749311294766,173600.0,1050.0,34.23136,-87.618965,179900.0
AL,Dothan,Woodland Dr,36301.0,3.0,1.0,1458.0,98.079561042524,0.3537649219467401,141000.0,1385.0,31.201424,-85.413605,143000.0
AL,Tuscaloosa,22nd Ave E,35405.0,3.0,2.0,1444.0,110.73407202216066,,192300.0,1500.0,33.15471,-87.50979,159900.0
AL,Dothan,Frankfort Dr,36305.0,3.0,2.0,1375.0,145.38181818181818,0.25,205400.0,1529.0,31.2081,-85.44741,199900.0
AL,Jasper,Smith Lake Dam Rd,35504.0,3.0,2.0,2666.0,37.396849212303074,4.8,,1800.0,33.981796,-87.188896,99700.0
AL,Huntsville,W Tuliptree Dr SE,35803.0,4.0,2.0,1999.0,152.57628814407204,0.29,304800.0,1800.0,34.63312,-86.536224,305000.0
AL,Foley,E Myrtle Ave,36535.0,3.0,2.0,1752.0,165.46803652968038,26.0,285800.0,1994.0,30.404478,-87.67821,289900.0
AL,Alabaster,Blue Spring Pl,35007.0,3.0,3.0,1880.0,148.88297872340425,0.27,283600.0,1681.0,33.22804,-86.83084,279900.0
AL,Chelsea,Highway 440,35043.0,3.0,2.0,1425.0,195.7894736842105,1.82,280200.0,1425.0,33.354427,-86.59509,279000.0
AL,Madison,Tynedale Dr,35756.0,4.0,3.0,2354.0,155.0552251486831,0.21,364700.0,2037.0,34.69121,-86.78906,365000.0
AL,Mobile,Laurel St,36604.0,3.0,1.0,1490.0,157.71812080536913,0.1576,235000.0,1400.0,30.681978,-88.07807,235000.0
AL,Mobile,Clarke St,36606.0,3.0,1.0,1000.0,79.0,0.0767,,995.0,30.66862,-88.09325,79000.0
AL,Huntsville,Hickory Hill Ln SE,35802.0,4.0,3.0,2875.0,139.09565217391304,0.4599999999999999,382400.0,2262.0,34.660194,-86.5568,399900.0
AL,Alabaster,Hickory Hills Dr,35007.0,3.0,2.0,1808.0,132.7433628318584,0.47,239400.0,1657.0,33.257935,-86.80834,240000.0
AL,Hazel Green,Will Holt Rd,35750.0,3.0,2.0,1976.0,68.31983805668017,0.5599999999999999,125400.0,847.0,34.97667,-86.65006,135000.0
AL,Mobile,Macy Pl,36604.0,3.0,2.0,2455.0,199.18533604887983,0.1739,488700.0,2578.0,30.685225,-88.0755,489000.0
AL,Bay Minette,Tanner Ln,36507.0,3.0,2.0,1859.0,112.9101667563206,3.0,194500.0,1875.0,30.810877,-87.80625,209900.0
AL,Gadsden,Edison Ave,35904.0,3.0,3.0,2542.0,137.6475216365067,1.43,347100.0,1800.0,34.057,-86.01735,349900.0
AL,Duncanville,Colonial Dr,35456.0,4.0,3.0,3556.0,50.59055118110236,2.0,182000.0,1814.0,33.118427,-87.47632,179900.0
AL,New Brockton,Highway 51,36351.0,2.0,1.0,1851.0,32.414910858995135,5.72,,1800.0,31.474384,-85.850395,60000.0
AL,Huntsville,Craft Ave NW,35816.0,3.0,2.0,1320.0,135.6060606060606,1.0,166800.0,1594.0,34.7451,-86.612724,179000.0
AL,Mobile,N Gulf Field Dr,36605.0,5.0,4.0,1505.0,86.31229235880399,0.1836,127600.0,1099.0,30.6478,-88.08221,129900.0
AL,Mobile,Middle Ring Rd,36608.0,4.0,2.0,1034.0,117.98839458413929,0.1825,120700.0,1300.0,30.71276,-88.191345,122000.0
AL,Dothan,Meadowbrook Dr,36303.0,3.0,2.0,1664.0,105.16826923076924,0.0,165000.0,1435.0,31.240427,-85.43404,175000.0
AL,Northport,Dunston Cir,35475.0,4.0,2.0,2349.0,140.44274159216687,,328500.0,1999.0,33.303703,-87.594124,329900.0
AL,Dothan,Foxrun Trl,36303.0,5.0,3.0,2472.0,108.8187702265372,0.4579889807162534,263800.0,1999.0,31.257858,-85.4552,269000.0
AL,Helena,Southwind Dr,35080.0,3.0,2.0,2190.0,125.47945205479452,0.4,279600.0,1648.0,33.27857,-86.830025,274800.0
AL,Gulf Shores,Muscogee Rd,36542.0,3.0,3.0,1265.0,333.59683794466406,0.1435,404700.0,2400.0,30.232487,-87.977135,422000.0
AL,Mobile,Hamilton Creek Dr N,36695.0,3.0,3.0,1888.0,132.36228813559322,0.4006999999999999,250400.0,1800.0,30.635536,-88.270996,249900.0
AL,Mobile,General Lee Ave,36619.0,4.0,2.0,1807.0,138.29551743220807,0.3432,197700.0,1650.0,30.582676,-88.18447,249900.0
AL,Madison,Mill Walk Ct,35758.0,5.0,5.0,3923.0,172.03670660209025,0.4,674500.0,4140.0,34.700047,-86.76704,674900.0
AL,Foley,E Myrtle Ave,36535.0,3.0,2.0,1361.0,176.3409257898604,0.2329999999999999,237500.0,1800.0,30.404423,-87.67775,240000.0
AL,Athens,Arbor Dr,35613.0,2.0,2.0,1927.0,139.0762843798651,,291400.0,1892.0,34.797318,-86.92516,268000.0
AL,Mobile,Dixie Ln,36693.0,3.0,2.0,1319.0,125.01895375284306,0.2307999999999999,165200.0,1200.0,30.637695,-88.179756,164900.0
AL,Pinson,Shelterwood Cir,35126.0,4.0,3.0,2430.0,98.76543209876544,0.02,239500.0,1746.0,33.768818,-86.62087,240000.0
AL,Enterprise,Highway 134,36330.0,3.0,1.0,1025.0,102.34146341463416,1.4,96200.0,999.0,31.317612,-85.91449,104900.0
AL,Huntsville,River Mill Rd,35811.0,4.0,4.0,3510.0,170.94017094017093,0.48,599500.0,3427.0,34.79965,-86.48301,600000.0
AL,Evergreen,Bruner Ave,36401.0,5.0,2.0,3078.0,30.214424951267056,0.71,,1376.0,31.430414,-86.95541,93000.0
AL,Huntsville,Mountainbrook Dr SE,35801.0,5.0,4.0,3320.0,93.3734939759036,0.45,296800.0,3198.0,34.721184,-86.550224,310000.0
AL,Foley,Live Oak Ave,36555.0,3.0,2.0,1088.0,229.77941176470588,0.3299999999999999,247200.0,2199.0,30.405363,-87.77882,250000.0
AL,Loxley,Landmark Ave,36551.0,3.0,2.0,1428.0,165.19607843137254,0.173,234700.0,1700.0,30.63612,-87.78366,235900.0
AL,Alabaster,Forest Hills Cir,35007.0,5.0,3.0,2660.0,165.0375939849624,0.61,391400.0,2213.0,33.203835,-86.80198,439000.0
AL,Mobile,Dawes Service Rd,36695.0,4.0,3.0,1792.0,89.28571428571429,0.7467,159200.0,1599.0,30.675133,-88.23147,160000.0
AL,Mobile,Middle Ring Rd,36608.0,3.0,2.0,1222.0,90.0163666121113,0.2289,110300.0,1350.0,30.712626,-88.19037,110000.0
AL,Enterprise,Plaza Dr,36330.0,3.0,2.0,1336.0,125.374251497006,0.4599999999999999,165800.0,1764.0,31.295835,-85.833595,167500.0
AL,Cullman,6th St SE,35055.0,3.0,2.0,1341.0,197.613721103654,0.22,263700.0,1650.0,34.17533,-86.83396,265000.0
AL,Mobile,S Faure Dr,36605.0,4.0,1.0,1817.0,74.24325811777655,0.246,,1400.0,30.631083,-88.10963,134900.0
AL,Mobile,Spring Meadow Dr E,36695.0,3.0,2.0,1535.0,182.37785016286645,,,1942.0,30.61962,-88.267395,279950.0
AL,Theodore,Lundy Rd,36582.0,3.0,2.0,1500.0,94.66666666666669,0.7508,,1266.0,30.56557,-88.228935,142000.0
AL,Mobile,Ralston Rd,36606.0,3.0,2.0,1660.0,78.3132530120482,1.0,127800.0,1514.0,30.680765,-88.10756,130000.0
AL,Mobile,Anders Dr,36608.0,4.0,2.0,1267.0,133.3859510655091,0.1966,,1147.0,30.711075,-88.19744,169000.0
AL,Tuscaloosa,Pin Oak Dr,35405.0,4.0,3.0,2600.0,123.03846153846152,0.47,309400.0,1814.0,33.178677,-87.47292,319900.0
AL,Mobile,Forest Glen Dr W,36618.0,3.0,2.0,1515.0,150.42904290429044,0.2365,227800.0,1558.0,30.714804,-88.147964,227900.0
AL,Daphne,Lakeview Loop,36526.0,3.0,2.0,1704.0,132.04225352112675,0.24,223200.0,2299.0,30.65488,-87.892334,225000.0
AL,Marion,Washington St,36756.0,5.0,3.0,3656.0,57.439824945295406,,241400.0,1999.0,32.628574,-87.319466,210000.0
AL,Dothan,Candle Brook Dr,36303.0,2.0,2.0,1476.0,113.0758807588076,0.2,165200.0,1700.0,31.26417,-85.422714,166900.0
AL,Prattville,Buena Vista Blvd,36067.0,3.0,2.0,1522.0,148.8173455978975,0.13,225400.0,1584.0,32.428448,-86.45171,226500.0
AL,Headland,State Highway 134 W,36345.0,3.0,3.0,2128.0,91.63533834586468,1.12,50300.0,1778.0,31.333715,-85.39057,195000.0
AL,Newton,S College St,36352.0,3.0,2.0,1568.0,88.89732142857143,0.49,136300.0,1389.0,31.332989,-85.599846,139391.0
AL,Dora,Warrior Jasper Rd,35062.0,3.0,2.0,1642.0,167.1741778319123,2.7,255500.0,1433.0,33.748173,-86.981186,274500.0
AL,Birmingham,Renfro Rd,35216.0,4.0,3.0,2504.0,149.76038338658148,0.67,383100.0,2464.0,33.41161,-86.79205,375000.0
AL,Daphne,Ivy Cir,36526.0,5.0,2.0,1925.0,153.24675324675326,0.11,292900.0,2100.0,30.637468,-87.89588,295000.0
AL,Attalla,Dewey Ave,35954.0,3.0,1.0,1000.0,125.0,,118400.0,972.0,34.00362,-86.12681,125000.0
AL,Prichard,Dade St,36610.0,3.0,1.0,1245.0,40.16064257028113,0.1506,48500.0,1200.0,30.740385,-88.093895,50000.0
AL,Mobile,Hounds Run S,36608.0,4.0,3.0,2238.0,89.36550491510278,0.2969,199700.0,1900.0,30.68334,-88.198875,200000.0
AL,Logan,County Road 818,35098.0,3.0,2.0,1272.0,196.54088050314465,1.2,251200.0,1507.0,34.12248,-87.05896,250000.0
AL,Grand Bay,Knoke Ave,36541.0,3.0,2.0,1293.0,150.8120649651972,0.4659999999999999,187300.0,1298.0,30.476803,-88.33238,195000.0
AL,Tuscaloosa,Old Greensboro Rd,35405.0,3.0,3.0,1205.0,156.84647302904563,1.5,184800.0,1266.0,33.056057,-87.570274,189000.0
AL,Theodore,Lancaster Rd,36582.0,4.0,2.0,2156.0,208.71938775510205,2.2311,447600.0,1460.0,30.50111,-88.165405,449999.0
AL,Salem,Lee Road 638,36874.0,4.0,3.0,1976.0,79.95951417004049,0.73,155200.0,2243.0,32.667465,-85.18102,158000.0
AL,Wilmer,Trace Ln,36587.0,3.0,2.0,2000.0,49.95,0.4655,93200.0,688.0,30.877403,-88.30783,99900.0
AL,Huntsville,Acorn Grove Ln SW,35824.0,3.0,3.0,2519.0,148.86859865025804,0.1399999999999999,374400.0,2184.0,34.660786,-86.73575,375000.0
AL,Mobile,Fathbrook Ln,36693.0,3.0,2.0,1224.0,147.05882352941177,0.1541,179200.0,1494.0,30.620256,-88.145485,180000.0
AL,Gadsden,N Thirtieth St,35904.0,4.0,2.0,1295.0,100.38610038610038,0.1721763085399449,95100.0,1192.0,34.023613,-86.0518,130000.0
AL,Enterprise,Kate St,36330.0,3.0,1.0,1242.0,108.69565217391305,0.3399999999999999,133700.0,1164.0,31.30808,-85.871994,135000.0
AL,Wetumpka,Jug Factory Rd,36093.0,4.0,3.0,3202.0,118.67582760774516,3.57,360700.0,2231.0,32.53193,-86.11993,380000.0
AL,Warrior,Gilbert Ln,35180.0,2.0,2.0,2256.0,42.10992907801418,1.8,,1325.0,33.800705,-86.89107,95000.0
AL,Montgomery,E Delano Ave,36105.0,3.0,2.0,1428.0,90.96638655462183,0.26,127500.0,1019.0,32.337,-86.29974,129900.0
